0	0
10	41
20	45
30	48
40	48
50	50
60	52
70	61
80	56
90	54
100	55
110	56
120	57
130	57
140	58
150	59
160	59
170	57
180	61
190	61
200	61
210	75
220	63
230	61
240	63
250	63
260	64
270	63
280	64
290	63
300	62
310	63
320	63
330	64
340	65
350	67
360	65
370	65
380	65
390	66
400	66
410	66
420	66
430	67
440	68
450	67
460	68
470	68
480	70
490	67
500	67
510	69
520	69
530	70
540	70
550	69
560	69
570	69
580	71
590	70
600	70
610	73
620	72
630	69
640	71
650	71
660	73
670	72
680	70
690	70
700	73
710	70
720	72
730	74
740	73
750	70
760	73
770	73
780	72
790	74
800	75
810	76
820	73
830	76
840	75
850	87
860	81
870	75
880	76
890	74
900	76
910	75
920	76
930	86
940	76
950	75
960	77
970	78
980	76
990	78
