0	0
10	60
20	69
30	71
40	77
50	78
60	84
70	85
80	99
90	86
100	91
110	91
120	107
130	95
140	97
150	99
160	98
170	99
180	100
190	102
200	101
210	101
220	104
230	104
240	102
250	106
260	118
270	106
280	108
290	110
300	125
310	108
320	111
330	111
340	113
350	112
360	112
370	112
380	113
390	111
400	111
410	111
420	112
430	112
440	116
450	115
460	114
470	116
480	117
490	117
500	132
510	116
520	117
530	119
540	130
550	119
560	117
570	119
580	120
590	120
600	121
610	119
620	122
630	121
640	119
650	120
660	123
670	124
680	120
690	121
700	123
710	124
720	124
730	124
740	124
750	126
760	137
770	125
780	124
790	127
800	126
810	138
820	126
830	125
840	142
850	128
860	125
870	128
880	139
890	127
900	132
910	128
920	126
930	130
940	132
950	129
960	128
970	129
980	131
990	129
